,path,items,AGM
271,GZIP_y2016_s5000/CIK__1038205__serial__886263__date__2016-07-11.txt.gz,False,False
272,GZIP_y2016_s5000/CIK__1038222__serial__847736__date__2016-02-03.txt.gz,False,False
273,GZIP_y2016_s5000/CIK__1038357__serial__847740__date__2016-01-11.txt.gz,False,False
274,GZIP_y2016_s5000/CIK__1039065__serial__886280__date__2016-09-12.txt.gz,False,False
275,GZIP_y2016_s5000/CIK__1039101__serial__886281__date__2016-07-28.txt.gz,False,False
276,GZIP_y2016_s5000/CIK__1039399__serial__866179__date__2016-04-27.txt.gz,True,False
277,GZIP_y2016_s5000/CIK__1039399__serial__866180__date__2016-05-23.txt.gz,False,False
278,GZIP_y2016_s5000/CIK__1039757__serial__847773__date__2016-01-05.txt.gz,False,False
279,GZIP_y2016_s5000/CIK__1040470__serial__847787__date__2016-03-24.txt.gz,False,False
280,GZIP_y2016_s5000/CIK__1040719__serial__866209__date__2016-06-13.txt.gz,True,False
281,GZIP_y2016_s5000/CIK__1040765__serial__903403__date__2016-12-27.txt.gz,True,False
282,GZIP_y2016_s5000/CIK__1040792__serial__886319__date__2016-09-08.txt.gz,False,False
283,GZIP_y2016_s5000/CIK__1040829__serial__847801__date__2016-01-20.txt.gz,False,False
284,GZIP_y2016_s5000/CIK__1040829__serial__886324__date__2016-08-02.txt.gz,False,False
285,GZIP_y2016_s5000/CIK__1040850__serial__866222__date__2016-05-23.txt.gz,False,False
286,GZIP_y2016_s5000/CIK__1040971__serial__886328__date__2016-09-28.txt.gz,False,False
287,GZIP_y2016_s5000/CIK__1040971__serial__903417__date__2016-12-30.txt.gz,True,False
288,GZIP_y2016_s5000/CIK__1041024__serial__847814__date__2016-02-16.txt.gz,False,False
289,GZIP_y2016_s5000/CIK__1041061__serial__866240__date__2016-05-24.txt.gz,False,True
